LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUT,FERTILITY,TOT,CHD_WOMAN,A,1991,1.51,
AUT,FERTILITY,TOT,CHD_WOMAN,A,1992,1.51,
AUT,FERTILITY,TOT,CHD_WOMAN,A,1993,1.5,
AUT,FERTILITY,TOT,CHD_WOMAN,A,1994,1.47,
AUT,FERTILITY,TOT,CHD_WOMAN,A,1995,1.42,
AUT,FERTILITY,TOT,CHD_WOMAN,A,1996,1.45,
AUT,FERTILITY,TOT,CHD_WOMAN,A,1997,1.39,
AUT,FERTILITY,TOT,CHD_WOMAN,A,1998,1.37,
AUT,FERTILITY,TOT,CHD_WOMAN,A,1999,1.34,
AUT,FERTILITY,TOT,CHD_WOMAN,A,2000,1.36,
AUT,FERTILITY,TOT,CHD_WOMAN,A,2001,1.33,
AUT,FERTILITY,TOT,CHD_WOMAN,A,2002,1.39,
AUT,FERTILITY,TOT,CHD_WOMAN,A,2003,1.38,
AUT,FERTILITY,TOT,CHD_WOMAN,A,2004,1.42,
AUT,FERTILITY,TOT,CHD_WOMAN,A,2005,1.41,
AUT,FERTILITY,TOT,CHD_WOMAN,A,2006,1.41,
AUT,FERTILITY,TOT,CHD_WOMAN,A,2007,1.39,
AUT,FERTILITY,TOT,CHD_WOMAN,A,2008,1.42,
AUT,FERTILITY,TOT,CHD_WOMAN,A,2009,1.4,
AUT,FERTILITY,TOT,CHD_WOMAN,A,2010,1.44,
AUT,FERTILITY,TOT,CHD_WOMAN,A,2011,1.43,
AUT,FERTILITY,TOT,CHD_WOMAN,A,2012,1.44,
AUT,FERTILITY,TOT,CHD_WOMAN,A,2013,1.44,
AUT,FERTILITY,TOT,CHD_WOMAN,A,2014,1.46,
AUT,FERTILITY,TOT,CHD_WOMAN,A,2015,1.49,
AUT,FERTILITY,TOT,CHD_WOMAN,A,2016,1.53,
AUT,FERTILITY,TOT,CHD_WOMAN,A,2017,1.52,
AUT,FERTILITY,TOT,CHD_WOMAN,A,2018,1.48,
AUT,FERTILITY,TOT,CHD_WOMAN,A,2019,1.46,
AUT,FERTILITY,TOT,CHD_WOMAN,A,2020,1.44,
BEL,FERTILITY,TOT,CHD_WOMAN,A,1990,1.62,
BEL,FERTILITY,TOT,CHD_WOMAN,A,1991,1.65,
BEL,FERTILITY,TOT,CHD_WOMAN,A,1992,1.64,
BEL,FERTILITY,TOT,CHD_WOMAN,A,1993,1.6,
BEL,FERTILITY,TOT,CHD_WOMAN,A,1994,1.55,
BEL,FERTILITY,TOT,CHD_WOMAN,A,1995,1.55,
BEL,FERTILITY,TOT,CHD_WOMAN,A,1996,1.58,
BEL,FERTILITY,TOT,CHD_WOMAN,A,1997,1.59,
BEL,FERTILITY,TOT,CHD_WOMAN,A,1998,1.57,
BEL,FERTILITY,TOT,CHD_WOMAN,A,1999,1.59,
BEL,FERTILITY,TOT,CHD_WOMAN,A,2000,1.64,
BEL,FERTILITY,TOT,CHD_WOMAN,A,2001,1.64,
BEL,FERTILITY,TOT,CHD_WOMAN,A,2002,1.62,
BEL,FERTILITY,TOT,CHD_WOMAN,A,2003,1.64,
BEL,FERTILITY,TOT,CHD_WOMAN,A,2004,1.7,
BEL,FERTILITY,TOT,CHD_WOMAN,A,2005,1.74,
BEL,FERTILITY,TOT,CHD_WOMAN,A,2006,1.78,
BEL,FERTILITY,TOT,CHD_WOMAN,A,2007,1.8,
BEL,FERTILITY,TOT,CHD_WOMAN,A,2008,1.86,
BEL,FERTILITY,TOT,CHD_WOMAN,A,2009,1.83,
BEL,FERTILITY,TOT,CHD_WOMAN,A,2010,1.84,
BEL,FERTILITY,TOT,CHD_WOMAN,A,2011,1.81,
BEL,FERTILITY,TOT,CHD_WOMAN,A,2012,1.79,
BEL,FERTILITY,TOT,CHD_WOMAN,A,2013,1.74,
BEL,FERTILITY,TOT,CHD_WOMAN,A,2014,1.73,
BEL,FERTILITY,TOT,CHD_WOMAN,A,2015,1.69,
BEL,FERTILITY,TOT,CHD_WOMAN,A,2016,1.67,
BEL,FERTILITY,TOT,CHD_WOMAN,A,2017,1.64,
BEL,FERTILITY,TOT,CHD_WOMAN,A,2018,1.61,
BEL,FERTILITY,TOT,CHD_WOMAN,A,2019,1.57,
CAN,FERTILITY,TOT,CHD_WOMAN,A,1990,1.71,
CAN,FERTILITY,TOT,CHD_WOMAN,A,1991,1.7,
CAN,FERTILITY,TOT,CHD_WOMAN,A,1992,1.69,
CAN,FERTILITY,TOT,CHD_WOMAN,A,1993,1.66,
CAN,FERTILITY,TOT,CHD_WOMAN,A,1994,1.62,
CAN,FERTILITY,TOT,CHD_WOMAN,A,1995,1.62,
CAN,FERTILITY,TOT,CHD_WOMAN,A,1996,1.62,
CAN,FERTILITY,TOT,CHD_WOMAN,A,1997,1.58,
CAN,FERTILITY,TOT,CHD_WOMAN,A,1998,1.54,
CAN,FERTILITY,TOT,CHD_WOMAN,A,1999,1.51,
CAN,FERTILITY,TOT,CHD_WOMAN,A,2000,1.49,
CAN,FERTILITY,TOT,CHD_WOMAN,A,2001,1.51,
CAN,FERTILITY,TOT,CHD_WOMAN,A,2002,1.5,
CAN,FERTILITY,TOT,CHD_WOMAN,A,2003,1.53,
CAN,FERTILITY,TOT,CHD_WOMAN,A,2004,1.53,
CAN,FERTILITY,TOT,CHD_WOMAN,A,2005,1.54,
CAN,FERTILITY,TOT,CHD_WOMAN,A,2006,1.59,
CAN,FERTILITY,TOT,CHD_WOMAN,A,2007,1.66,
CAN,FERTILITY,TOT,CHD_WOMAN,A,2008,1.68,
CAN,FERTILITY,TOT,CHD_WOMAN,A,2009,1.67,
CAN,FERTILITY,TOT,CHD_WOMAN,A,2010,1.63,
CAN,FERTILITY,TOT,CHD_WOMAN,A,2011,1.61,
CAN,FERTILITY,TOT,CHD_WOMAN,A,2012,1.61,
CAN,FERTILITY,TOT,CHD_WOMAN,A,2013,1.59,
CAN,FERTILITY,TOT,CHD_WOMAN,A,2014,1.58,
CAN,FERTILITY,TOT,CHD_WOMAN,A,2015,1.56,
CAN,FERTILITY,TOT,CHD_WOMAN,A,2016,1.54,
CAN,FERTILITY,TOT,CHD_WOMAN,A,2017,1.5,
CAN,FERTILITY,TOT,CHD_WOMAN,A,2018,1.5,
CAN,FERTILITY,TOT,CHD_WOMAN,A,2019,1.47,
CZE,FERTILITY,TOT,CHD_WOMAN,A,1990,1.89,
CZE,FERTILITY,TOT,CHD_WOMAN,A,1991,1.86,
CZE,FERTILITY,TOT,CHD_WOMAN,A,1992,1.72,
CZE,FERTILITY,TOT,CHD_WOMAN,A,1993,1.67,
CZE,FERTILITY,TOT,CHD_WOMAN,A,1994,1.44,
CZE,FERTILITY,TOT,CHD_WOMAN,A,1995,1.28,
CZE,FERTILITY,TOT,CHD_WOMAN,A,1996,1.19,
CZE,FERTILITY,TOT,CHD_WOMAN,A,1997,1.17,
CZE,FERTILITY,TOT,CHD_WOMAN,A,1998,1.16,
CZE,FERTILITY,TOT,CHD_WOMAN,A,1999,1.13,
CZE,FERTILITY,TOT,CHD_WOMAN,A,2000,1.14,
CZE,FERTILITY,TOT,CHD_WOMAN,A,2001,1.15,
CZE,FERTILITY,TOT,CHD_WOMAN,A,2002,1.17,
CZE,FERTILITY,TOT,CHD_WOMAN,A,2003,1.18,
CZE,FERTILITY,TOT,CHD_WOMAN,A,2004,1.23,
CZE,FERTILITY,TOT,CHD_WOMAN,A,2005,1.28,
CZE,FERTILITY,TOT,CHD_WOMAN,A,2006,1.33,
CZE,FERTILITY,TOT,CHD_WOMAN,A,2007,1.44,
CZE,FERTILITY,TOT,CHD_WOMAN,A,2008,1.5,
CZE,FERTILITY,TOT,CHD_WOMAN,A,2009,1.49,
CZE,FERTILITY,TOT,CHD_WOMAN,A,2010,1.49,
CZE,FERTILITY,TOT,CHD_WOMAN,A,2011,1.43,
CZE,FERTILITY,TOT,CHD_WOMAN,A,2012,1.45,
CZE,FERTILITY,TOT,CHD_WOMAN,A,2013,1.46,
CZE,FERTILITY,TOT,CHD_WOMAN,A,2014,1.53,
CZE,FERTILITY,TOT,CHD_WOMAN,A,2015,1.57,
CZE,FERTILITY,TOT,CHD_WOMAN,A,2016,1.63,
CZE,FERTILITY,TOT,CHD_WOMAN,A,2017,1.69,
CZE,FERTILITY,TOT,CHD_WOMAN,A,2018,1.71,
CZE,FERTILITY,TOT,CHD_WOMAN,A,2019,1.71,
CZE,FERTILITY,TOT,CHD_WOMAN,A,2020,1.71,
DNK,FERTILITY,TOT,CHD_WOMAN,A,1990,1.67,
DNK,FERTILITY,TOT,CHD_WOMAN,A,1991,1.68,
DNK,FERTILITY,TOT,CHD_WOMAN,A,1992,1.76,
DNK,FERTILITY,TOT,CHD_WOMAN,A,1993,1.75,
DNK,FERTILITY,TOT,CHD_WOMAN,A,1994,1.81,
DNK,FERTILITY,TOT,CHD_WOMAN,A,1995,1.81,
DNK,FERTILITY,TOT,CHD_WOMAN,A,1996,1.75,
DNK,FERTILITY,TOT,CHD_WOMAN,A,1997,1.76,
DNK,FERTILITY,TOT,CHD_WOMAN,A,1998,1.73,
DNK,FERTILITY,TOT,CHD_WOMAN,A,1999,1.74,
DNK,FERTILITY,TOT,CHD_WOMAN,A,2000,1.77,
DNK,FERTILITY,TOT,CHD_WOMAN,A,2001,1.75,
DNK,FERTILITY,TOT,CHD_WOMAN,A,2002,1.72,
DNK,FERTILITY,TOT,CHD_WOMAN,A,2003,1.76,
DNK,FERTILITY,TOT,CHD_WOMAN,A,2004,1.79,
DNK,FERTILITY,TOT,CHD_WOMAN,A,2005,1.8,
DNK,FERTILITY,TOT,CHD_WOMAN,A,2006,1.85,
DNK,FERTILITY,TOT,CHD_WOMAN,A,2007,1.84,
DNK,FERTILITY,TOT,CHD_WOMAN,A,2008,1.89,
DNK,FERTILITY,TOT,CHD_WOMAN,A,2009,1.84,
DNK,FERTILITY,TOT,CHD_WOMAN,A,2010,1.87,
DNK,FERTILITY,TOT,CHD_WOMAN,A,2011,1.75,
DNK,FERTILITY,TOT,CHD_WOMAN,A,2012,1.73,
DNK,FERTILITY,TOT,CHD_WOMAN,A,2013,1.67,
DNK,FERTILITY,TOT,CHD_WOMAN,A,2014,1.69,
DNK,FERTILITY,TOT,CHD_WOMAN,A,2015,1.71,
DNK,FERTILITY,TOT,CHD_WOMAN,A,2016,1.79,
DNK,FERTILITY,TOT,CHD_WOMAN,A,2017,1.75,
DNK,FERTILITY,TOT,CHD_WOMAN,A,2018,1.73,
DNK,FERTILITY,TOT,CHD_WOMAN,A,2019,1.7,
DNK,FERTILITY,TOT,CHD_WOMAN,A,2020,1.67,
FIN,FERTILITY,TOT,CHD_WOMAN,A,1990,1.79,
FIN,FERTILITY,TOT,CHD_WOMAN,A,1991,1.8,
FIN,FERTILITY,TOT,CHD_WOMAN,A,1992,1.85,
FIN,FERTILITY,TOT,CHD_WOMAN,A,1993,1.81,
FIN,FERTILITY,TOT,CHD_WOMAN,A,1994,1.85,
FIN,FERTILITY,TOT,CHD_WOMAN,A,1995,1.81,
FIN,FERTILITY,TOT,CHD_WOMAN,A,1996,1.76,
FIN,FERTILITY,TOT,CHD_WOMAN,A,1997,1.75,
FIN,FERTILITY,TOT,CHD_WOMAN,A,1998,1.71,
FIN,FERTILITY,TOT,CHD_WOMAN,A,1999,1.73,
FIN,FERTILITY,TOT,CHD_WOMAN,A,2000,1.73,
FIN,FERTILITY,TOT,CHD_WOMAN,A,2001,1.73,
FIN,FERTILITY,TOT,CHD_WOMAN,A,2002,1.72,
FIN,FERTILITY,TOT,CHD_WOMAN,A,2003,1.76,
FIN,FERTILITY,TOT,CHD_WOMAN,A,2004,1.8,
FIN,FERTILITY,TOT,CHD_WOMAN,A,2005,1.8,
FIN,FERTILITY,TOT,CHD_WOMAN,A,2006,1.84,
FIN,FERTILITY,TOT,CHD_WOMAN,A,2007,1.83,
FIN,FERTILITY,TOT,CHD_WOMAN,A,2008,1.85,
FIN,FERTILITY,TOT,CHD_WOMAN,A,2009,1.86,
FIN,FERTILITY,TOT,CHD_WOMAN,A,2010,1.87,
FIN,FERTILITY,TOT,CHD_WOMAN,A,2011,1.83,
FIN,FERTILITY,TOT,CHD_WOMAN,A,2012,1.8,
FIN,FERTILITY,TOT,CHD_WOMAN,A,2013,1.75,
FIN,FERTILITY,TOT,CHD_WOMAN,A,2014,1.71,
FIN,FERTILITY,TOT,CHD_WOMAN,A,2015,1.65,
FIN,FERTILITY,TOT,CHD_WOMAN,A,2016,1.57,
FIN,FERTILITY,TOT,CHD_WOMAN,A,2017,1.49,
FIN,FERTILITY,TOT,CHD_WOMAN,A,2018,1.41,
FIN,FERTILITY,TOT,CHD_WOMAN,A,2019,1.35,
FIN,FERTILITY,TOT,CHD_WOMAN,A,2020,1.37,
FRA,FERTILITY,TOT,CHD_WOMAN,A,1990,1.78,
FRA,FERTILITY,TOT,CHD_WOMAN,A,1991,1.77,
FRA,FERTILITY,TOT,CHD_WOMAN,A,1992,1.73,
FRA,FERTILITY,TOT,CHD_WOMAN,A,1993,1.66,
FRA,FERTILITY,TOT,CHD_WOMAN,A,1994,1.66,
FRA,FERTILITY,TOT,CHD_WOMAN,A,1995,1.71,
FRA,FERTILITY,TOT,CHD_WOMAN,A,1996,1.73,
FRA,FERTILITY,TOT,CHD_WOMAN,A,1997,1.73,
FRA,FERTILITY,TOT,CHD_WOMAN,A,1998,1.76,
FRA,FERTILITY,TOT,CHD_WOMAN,A,1999,1.79,
FRA,FERTILITY,TOT,CHD_WOMAN,A,2000,1.87,
FRA,FERTILITY,TOT,CHD_WOMAN,A,2001,1.88,
FRA,FERTILITY,TOT,CHD_WOMAN,A,2002,1.86,
FRA,FERTILITY,TOT,CHD_WOMAN,A,2003,1.87,
FRA,FERTILITY,TOT,CHD_WOMAN,A,2004,1.9,
FRA,FERTILITY,TOT,CHD_WOMAN,A,2005,1.92,
FRA,FERTILITY,TOT,CHD_WOMAN,A,2006,1.98,
FRA,FERTILITY,TOT,CHD_WOMAN,A,2007,1.95,
FRA,FERTILITY,TOT,CHD_WOMAN,A,2008,1.99,
FRA,FERTILITY,TOT,CHD_WOMAN,A,2009,1.99,
FRA,FERTILITY,TOT,CHD_WOMAN,A,2010,2.02,
FRA,FERTILITY,TOT,CHD_WOMAN,A,2011,2,
FRA,FERTILITY,TOT,CHD_WOMAN,A,2012,1.99,
FRA,FERTILITY,TOT,CHD_WOMAN,A,2013,1.97,
FRA,FERTILITY,TOT,CHD_WOMAN,A,2014,1.97,
FRA,FERTILITY,TOT,CHD_WOMAN,A,2015,1.93,
FRA,FERTILITY,TOT,CHD_WOMAN,A,2016,1.89,
FRA,FERTILITY,TOT,CHD_WOMAN,A,2017,1.86,
FRA,FERTILITY,TOT,CHD_WOMAN,A,2018,1.84,
FRA,FERTILITY,TOT,CHD_WOMAN,A,2019,1.83,
FRA,FERTILITY,TOT,CHD_WOMAN,A,2020,1.8,
DEU,FERTILITY,TOT,CHD_WOMAN,A,1990,1.45,
DEU,FERTILITY,TOT,CHD_WOMAN,A,1991,1.33,
DEU,FERTILITY,TOT,CHD_WOMAN,A,1992,1.29,
DEU,FERTILITY,TOT,CHD_WOMAN,A,1993,1.28,
DEU,FERTILITY,TOT,CHD_WOMAN,A,1994,1.24,
DEU,FERTILITY,TOT,CHD_WOMAN,A,1995,1.25,
DEU,FERTILITY,TOT,CHD_WOMAN,A,1996,1.32,
DEU,FERTILITY,TOT,CHD_WOMAN,A,1997,1.37,
DEU,FERTILITY,TOT,CHD_WOMAN,A,1998,1.36,
DEU,FERTILITY,TOT,CHD_WOMAN,A,1999,1.36,
DEU,FERTILITY,TOT,CHD_WOMAN,A,2000,1.38,
DEU,FERTILITY,TOT,CHD_WOMAN,A,2001,1.35,
DEU,FERTILITY,TOT,CHD_WOMAN,A,2002,1.34,
DEU,FERTILITY,TOT,CHD_WOMAN,A,2003,1.34,
DEU,FERTILITY,TOT,CHD_WOMAN,A,2004,1.36,
DEU,FERTILITY,TOT,CHD_WOMAN,A,2005,1.34,
DEU,FERTILITY,TOT,CHD_WOMAN,A,2006,1.33,
DEU,FERTILITY,TOT,CHD_WOMAN,A,2007,1.37,
DEU,FERTILITY,TOT,CHD_WOMAN,A,2008,1.38,
DEU,FERTILITY,TOT,CHD_WOMAN,A,2009,1.36,
DEU,FERTILITY,TOT,CHD_WOMAN,A,2010,1.39,
DEU,FERTILITY,TOT,CHD_WOMAN,A,2011,1.39,
DEU,FERTILITY,TOT,CHD_WOMAN,A,2012,1.41,
DEU,FERTILITY,TOT,CHD_WOMAN,A,2013,1.42,
DEU,FERTILITY,TOT,CHD_WOMAN,A,2014,1.47,
DEU,FERTILITY,TOT,CHD_WOMAN,A,2015,1.5,
DEU,FERTILITY,TOT,CHD_WOMAN,A,2016,1.59,
DEU,FERTILITY,TOT,CHD_WOMAN,A,2017,1.57,
DEU,FERTILITY,TOT,CHD_WOMAN,A,2018,1.57,
DEU,FERTILITY,TOT,CHD_WOMAN,A,2019,1.54,
GRC,FERTILITY,TOT,CHD_WOMAN,A,1990,1.39,
GRC,FERTILITY,TOT,CHD_WOMAN,A,1991,1.37,
GRC,FERTILITY,TOT,CHD_WOMAN,A,1992,1.36,
GRC,FERTILITY,TOT,CHD_WOMAN,A,1993,1.32,
GRC,FERTILITY,TOT,CHD_WOMAN,A,1994,1.33,
GRC,FERTILITY,TOT,CHD_WOMAN,A,1995,1.28,
GRC,FERTILITY,TOT,CHD_WOMAN,A,1996,1.26,
GRC,FERTILITY,TOT,CHD_WOMAN,A,1997,1.27,
GRC,FERTILITY,TOT,CHD_WOMAN,A,1998,1.24,
GRC,FERTILITY,TOT,CHD_WOMAN,A,1999,1.23,
GRC,FERTILITY,TOT,CHD_WOMAN,A,2000,1.25,
GRC,FERTILITY,TOT,CHD_WOMAN,A,2001,1.25,
GRC,FERTILITY,TOT,CHD_WOMAN,A,2002,1.28,
GRC,FERTILITY,TOT,CHD_WOMAN,A,2003,1.29,
GRC,FERTILITY,TOT,CHD_WOMAN,A,2004,1.31,
GRC,FERTILITY,TOT,CHD_WOMAN,A,2005,1.34,
GRC,FERTILITY,TOT,CHD_WOMAN,A,2006,1.4,
GRC,FERTILITY,TOT,CHD_WOMAN,A,2007,1.41,
GRC,FERTILITY,TOT,CHD_WOMAN,A,2008,1.5,
GRC,FERTILITY,TOT,CHD_WOMAN,A,2009,1.5,
GRC,FERTILITY,TOT,CHD_WOMAN,A,2010,1.48,
GRC,FERTILITY,TOT,CHD_WOMAN,A,2011,1.4,
GRC,FERTILITY,TOT,CHD_WOMAN,A,2012,1.34,
GRC,FERTILITY,TOT,CHD_WOMAN,A,2013,1.29,
GRC,FERTILITY,TOT,CHD_WOMAN,A,2014,1.3,
GRC,FERTILITY,TOT,CHD_WOMAN,A,2015,1.33,
GRC,FERTILITY,TOT,CHD_WOMAN,A,2016,1.38,
GRC,FERTILITY,TOT,CHD_WOMAN,A,2017,1.35,
GRC,FERTILITY,TOT,CHD_WOMAN,A,2018,1.35,
GRC,FERTILITY,TOT,CHD_WOMAN,A,2019,1.34,
HUN,FERTILITY,TOT,CHD_WOMAN,A,1990,1.84,
HUN,FERTILITY,TOT,CHD_WOMAN,A,1991,1.86,
HUN,FERTILITY,TOT,CHD_WOMAN,A,1992,1.77,
HUN,FERTILITY,TOT,CHD_WOMAN,A,1993,1.69,
HUN,FERTILITY,TOT,CHD_WOMAN,A,1994,1.64,
HUN,FERTILITY,TOT,CHD_WOMAN,A,1995,1.57,
HUN,FERTILITY,TOT,CHD_WOMAN,A,1996,1.46,
HUN,FERTILITY,TOT,CHD_WOMAN,A,1997,1.38,
HUN,FERTILITY,TOT,CHD_WOMAN,A,1998,1.33,
HUN,FERTILITY,TOT,CHD_WOMAN,A,1999,1.29,
HUN,FERTILITY,TOT,CHD_WOMAN,A,2000,1.33,
HUN,FERTILITY,TOT,CHD_WOMAN,A,2001,1.31,
HUN,FERTILITY,TOT,CHD_WOMAN,A,2002,1.31,
HUN,FERTILITY,TOT,CHD_WOMAN,A,2003,1.28,
HUN,FERTILITY,TOT,CHD_WOMAN,A,2004,1.28,
HUN,FERTILITY,TOT,CHD_WOMAN,A,2005,1.32,
HUN,FERTILITY,TOT,CHD_WOMAN,A,2006,1.35,
HUN,FERTILITY,TOT,CHD_WOMAN,A,2007,1.32,
HUN,FERTILITY,TOT,CHD_WOMAN,A,2008,1.35,
HUN,FERTILITY,TOT,CHD_WOMAN,A,2009,1.33,
HUN,FERTILITY,TOT,CHD_WOMAN,A,2010,1.26,
HUN,FERTILITY,TOT,CHD_WOMAN,A,2011,1.24,
HUN,FERTILITY,TOT,CHD_WOMAN,A,2012,1.34,
HUN,FERTILITY,TOT,CHD_WOMAN,A,2013,1.34,
HUN,FERTILITY,TOT,CHD_WOMAN,A,2014,1.41,
HUN,FERTILITY,TOT,CHD_WOMAN,A,2015,1.44,
HUN,FERTILITY,TOT,CHD_WOMAN,A,2016,1.49,
HUN,FERTILITY,TOT,CHD_WOMAN,A,2017,1.49,
HUN,FERTILITY,TOT,CHD_WOMAN,A,2018,1.49,
HUN,FERTILITY,TOT,CHD_WOMAN,A,2019,1.49,
ISL,FERTILITY,TOT,CHD_WOMAN,A,1990,2.31,
ISL,FERTILITY,TOT,CHD_WOMAN,A,1991,2.19,
ISL,FERTILITY,TOT,CHD_WOMAN,A,1992,2.21,
ISL,FERTILITY,TOT,CHD_WOMAN,A,1993,2.22,
ISL,FERTILITY,TOT,CHD_WOMAN,A,1994,2.14,
ISL,FERTILITY,TOT,CHD_WOMAN,A,1995,2.08,
ISL,FERTILITY,TOT,CHD_WOMAN,A,1996,2.12,
ISL,FERTILITY,TOT,CHD_WOMAN,A,1997,2.04,
ISL,FERTILITY,TOT,CHD_WOMAN,A,1998,2.05,
ISL,FERTILITY,TOT,CHD_WOMAN,A,1999,1.99,
ISL,FERTILITY,TOT,CHD_WOMAN,A,2000,2.08,
ISL,FERTILITY,TOT,CHD_WOMAN,A,2001,1.95,
ISL,FERTILITY,TOT,CHD_WOMAN,A,2002,1.93,
ISL,FERTILITY,TOT,CHD_WOMAN,A,2003,1.99,
ISL,FERTILITY,TOT,CHD_WOMAN,A,2004,2.03,
ISL,FERTILITY,TOT,CHD_WOMAN,A,2005,2.05,
ISL,FERTILITY,TOT,CHD_WOMAN,A,2006,2.07,
ISL,FERTILITY,TOT,CHD_WOMAN,A,2007,2.09,
ISL,FERTILITY,TOT,CHD_WOMAN,A,2008,2.14,
ISL,FERTILITY,TOT,CHD_WOMAN,A,2009,2.22,
ISL,FERTILITY,TOT,CHD_WOMAN,A,2010,2.2,
ISL,FERTILITY,TOT,CHD_WOMAN,A,2011,2.02,
ISL,FERTILITY,TOT,CHD_WOMAN,A,2012,2.04,
ISL,FERTILITY,TOT,CHD_WOMAN,A,2013,1.93,
ISL,FERTILITY,TOT,CHD_WOMAN,A,2014,1.93,
ISL,FERTILITY,TOT,CHD_WOMAN,A,2015,1.81,
ISL,FERTILITY,TOT,CHD_WOMAN,A,2016,1.75,
ISL,FERTILITY,TOT,CHD_WOMAN,A,2017,1.71,
ISL,FERTILITY,TOT,CHD_WOMAN,A,2018,1.71,
ISL,FERTILITY,TOT,CHD_WOMAN,A,2019,1.75,
IRL,FERTILITY,TOT,CHD_WOMAN,A,1990,2.12,
IRL,FERTILITY,TOT,CHD_WOMAN,A,1991,2.09,
IRL,FERTILITY,TOT,CHD_WOMAN,A,1992,1.99,
IRL,FERTILITY,TOT,CHD_WOMAN,A,1993,1.91,
IRL,FERTILITY,TOT,CHD_WOMAN,A,1994,1.85,
IRL,FERTILITY,TOT,CHD_WOMAN,A,1995,1.85,
IRL,FERTILITY,TOT,CHD_WOMAN,A,1996,1.89,
IRL,FERTILITY,TOT,CHD_WOMAN,A,1997,1.94,
IRL,FERTILITY,TOT,CHD_WOMAN,A,1998,1.95,
IRL,FERTILITY,TOT,CHD_WOMAN,A,1999,1.91,
IRL,FERTILITY,TOT,CHD_WOMAN,A,2000,1.9,
IRL,FERTILITY,TOT,CHD_WOMAN,A,2001,1.96,
IRL,FERTILITY,TOT,CHD_WOMAN,A,2002,1.98,
IRL,FERTILITY,TOT,CHD_WOMAN,A,2003,1.98,
IRL,FERTILITY,TOT,CHD_WOMAN,A,2004,1.95,
IRL,FERTILITY,TOT,CHD_WOMAN,A,2005,1.88,
IRL,FERTILITY,TOT,CHD_WOMAN,A,2006,1.94,
IRL,FERTILITY,TOT,CHD_WOMAN,A,2007,2.01,
IRL,FERTILITY,TOT,CHD_WOMAN,A,2008,2.06,
IRL,FERTILITY,TOT,CHD_WOMAN,A,2009,2.06,
IRL,FERTILITY,TOT,CHD_WOMAN,A,2010,2.05,
IRL,FERTILITY,TOT,CHD_WOMAN,A,2011,2.03,
IRL,FERTILITY,TOT,CHD_WOMAN,A,2012,1.98,
IRL,FERTILITY,TOT,CHD_WOMAN,A,2013,1.93,
IRL,FERTILITY,TOT,CHD_WOMAN,A,2014,1.89,
IRL,FERTILITY,TOT,CHD_WOMAN,A,2015,1.85,
IRL,FERTILITY,TOT,CHD_WOMAN,A,2016,1.82,
IRL,FERTILITY,TOT,CHD_WOMAN,A,2017,1.78,
IRL,FERTILITY,TOT,CHD_WOMAN,A,2018,1.75,
IRL,FERTILITY,TOT,CHD_WOMAN,A,2019,1.7,
ITA,FERTILITY,TOT,CHD_WOMAN,A,1990,1.36,
ITA,FERTILITY,TOT,CHD_WOMAN,A,1991,1.33,
